mp_id	fullname	year	guid	format	decl_url
18089	Євлахов Анатолій Сергійович	2013	606d81c0-ab1b-491e-8f3e-d2b22e9d867e	json	http://itd.rada.gov.ua/declview/Home/Main/18089/2013
18089	Євлахов Анатолій Сергійович	2014	0fa886d9-28fa-4a94-8e07-553073421c65	json	http://itd.rada.gov.ua/declview/Home/Main/18089/2014
18089	Євлахов Анатолій Сергійович	2015	ad8cbd34-af45-4193-8e2c-79618f5aa242	json	http://itd.rada.gov.ua/declview/Home/Main/18089/2015
11728	Євтушок Сергій Миколайович	2013	7cfe7dde-2e9e-40a5-80c9-d84759c9ef7c	json	http://itd.rada.gov.ua/declview/Home/Main/11728/2013
11728	Євтушок Сергій Миколайович	2014	f911c3e1-686f-4b3e-822c-e0a26ac6a840	json	http://itd.rada.gov.ua/declview/Home/Main/11728/2014
11728	Євтушок Сергій Миколайович	2015	4d76477b-0f31-4a2c-8349-167a0540b6be	json	http://itd.rada.gov.ua/declview/Home/Main/11728/2015
19859	Єдаков Ярослав Юрійович	2015	3080bd88-5715-46bc-8f41-bdf4e4339bb9	json	http://itd.rada.gov.ua/declview/Home/Main/19859/2015
18016	Єднак Остап Володимирович	2013	b2c01f28-af9c-4736-8c65-18108555b185	json	http://itd.rada.gov.ua/declview/Home/Main/18016/2013
18016	Єднак Остап Володимирович	2014	d879b4bb-1b61-44da-83eb-41a8c3f32c4f	json	http://itd.rada.gov.ua/declview/Home/Main/18016/2014
18016	Єднак Остап Володимирович	2015	b65dbc7f-5974-41a8-85d8-42d7f795ffaa	json	http://itd.rada.gov.ua/declview/Home/Main/18016/2015
17959	Єленський Віктор Євгенович	2013	0a8d1943-0dee-4eb5-84c6-c91e11c18a50	json	http://itd.rada.gov.ua/declview/Home/Main/17959/2013
17959	Єленський Віктор Євгенович	2014	6f2feb43-f686-4aed-8b87-3d5b4eac2c6e	json	http://itd.rada.gov.ua/declview/Home/Main/17959/2014
17959	Єленський Віктор Євгенович	2015	f314474b-2d09-48e8-8f48-169ef9a4938a	json	http://itd.rada.gov.ua/declview/Home/Main/17959/2015
4761	Ємець Леонід Олександрович	2013	1ff0fa5c-5f3a-45f0-8872-df09c55f41dd	json	http://itd.rada.gov.ua/declview/Home/Main/4761/2013
4761	Ємець Леонід Олександрович	2014	05dce43e-3561-494a-8e8f-26cabf577f9e	json	http://itd.rada.gov.ua/declview/Home/Main/4761/2014
4761	Ємець Леонід Олександрович	2015	32eebd67-c051-43e4-8840-d7ceb3956e75	json	http://itd.rada.gov.ua/declview/Home/Main/4761/2015
5509	Єремеєв Ігор Миронович	2013	30b155d7-5281-475a-88d0-bb4df0a94f86	json	http://itd.rada.gov.ua/declview/Home/Main/5509/2013
5509	Єремеєв Ігор Миронович	2014	228fe431-8ca1-415e-84d9-4dd77633504b	json	http://itd.rada.gov.ua/declview/Home/Main/5509/2014
18090	Єфімов Максим Вікторович	2013	a2bf88a4-7814-403b-8ffb-373e409a5116	json	http://itd.rada.gov.ua/declview/Home/Main/18090/2013
18090	Єфімов Максим Вікторович	2014	5d91ea3a-91d1-4a48-8b99-2d4698bed481	json	http://itd.rada.gov.ua/declview/Home/Main/18090/2014
18090	Єфімов Максим Вікторович	2015	d35327d1-1c18-47a2-80b1-36739871ffcc	json	http://itd.rada.gov.ua/declview/Home/Main/18090/2015
16716	Єфремова Ірина Олексіївна	2013	8ccb7977-ea1e-4a48-83b5-0d4fcf685d89	json	http://itd.rada.gov.ua/declview/Home/Main/16716/2013
16716	Єфремова Ірина Олексіївна	2014	a324d5f9-c58f-4ca3-8308-fdb20f6539de	json	http://itd.rada.gov.ua/declview/Home/Main/16716/2014
16716	Єфремова Ірина Олексіївна	2015	8dd88d7f-8d63-44b0-830f-9aa32b04c274	json	http://itd.rada.gov.ua/declview/Home/Main/16716/2015
15654	Іванчук Андрій Володимирович	2013	13b5f7f2-5ca3-47b0-8cc9-bb5a4f7b2773	json	http://itd.rada.gov.ua/declview/Home/Main/15654/2013
15654	Іванчук Андрій Володимирович	2014	b1bf85e0-e099-4e3d-8c8b-39fd2713bebf	json	http://itd.rada.gov.ua/declview/Home/Main/15654/2014
15654	Іванчук Андрій Володимирович	2015	d1243194-d125-4f60-8f71-a56ff4b02b35	json	http://itd.rada.gov.ua/declview/Home/Main/15654/2015
15733	Івахів Степан Петрович	2013	056c80f5-2a37-4f7e-8c58-8f929e369324	json	http://itd.rada.gov.ua/declview/Home/Main/15733/2013
15733	Івахів Степан Петрович	2014	17a11829-3427-4eae-8f9e-c64c865064cf	json	http://itd.rada.gov.ua/declview/Home/Main/15733/2014
15733	Івахів Степан Петрович	2015	fffc22a5-afee-4809-8e6c-e44d2f20d5ce	json	http://itd.rada.gov.ua/declview/Home/Main/15733/2015
18055	Івченко Вадим Євгенович	2013	6752126a-5a65-4c9a-8e07-2f11f5178b0e	json	http://itd.rada.gov.ua/declview/Home/Main/18055/2013
18055	Івченко Вадим Євгенович	2014	39b505c9-65f8-4d0d-8abb-07b93724f6ca	json	http://itd.rada.gov.ua/declview/Home/Main/18055/2014
18055	Івченко Вадим Євгенович	2015	3c99c420-828a-445b-8f7a-3ceae79faf7a	json	http://itd.rada.gov.ua/declview/Home/Main/18055/2015
15837	Іллєнко Андрій Юрійович	2013	1f87f0c1-1083-4d8d-8f6a-48c515d6e158	json	http://itd.rada.gov.ua/declview/Home/Main/15837/2013
15837	Іллєнко Андрій Юрійович	2014	63f850c3-6c3f-4a1f-8d01-05b490a00c1d	json	http://itd.rada.gov.ua/declview/Home/Main/15837/2014
15837	Іллєнко Андрій Юрійович	2015	9520cf11-2486-4373-8d00-7ffc3a471ee3	json	http://itd.rada.gov.ua/declview/Home/Main/15837/2015
15794	Ільюк Артем Олександрович	2013	22d2fc36-4056-45d1-8a8f-55abf155ceb5	json	http://itd.rada.gov.ua/declview/Home/Main/15794/2013
15794	Ільюк Артем Олександрович	2014	6a718acd-6fb6-4051-873f-8ca5daf1f0a3	json	http://itd.rada.gov.ua/declview/Home/Main/15794/2014
15794	Ільюк Артем Олександрович	2015	ad95bf4b-b7fb-4217-8459-a3913a417f51	json	http://itd.rada.gov.ua/declview/Home/Main/15794/2015
15672	Іонова Марія Миколаївна	2013	9091a71e-ef13-4923-8b92-f1855726480a	json	http://itd.rada.gov.ua/declview/Home/Main/15672/2013
15672	Іонова Марія Миколаївна	2012	0c32bae7-ca98-4b2d-810a-6867b6f364bb	json	http://itd.rada.gov.ua/declview/Home/Main/15672/2012
15672	Іонова Марія Миколаївна	2014	0dfb9e15-096d-4d66-89a1-29e97247e2b7	json	http://itd.rada.gov.ua/declview/Home/Main/15672/2014
15672	Іонова Марія Миколаївна	2015	e1863740-9221-44fd-8228-0445ed720293	json	http://itd.rada.gov.ua/declview/Home/Main/15672/2015
793	Іоффе Юлій Якович	2013	1bc071e8-036c-4200-8651-25e8655a23b3	json	http://itd.rada.gov.ua/declview/Home/Main/793/2013
793	Іоффе Юлій Якович	2014	13fc77a2-32cc-4a6f-8fbb-dc94e056f835	json	http://itd.rada.gov.ua/declview/Home/Main/793/2014
793	Іоффе Юлій Якович	2015	507d5ba5-8195-44da-8ced-8db61d82dbff	json	http://itd.rada.gov.ua/declview/Home/Main/793/2015
18092	Іщейкін Костянтин Євгенович	2013	dd8ded29-079d-4f43-882c-a8c0932adbb9	json	http://itd.rada.gov.ua/declview/Home/Main/18092/2013
