row,col,pos_x,pos_y,title,id_mp,id_fr
6,26,473,114,Третьякова Галина Миколаївна,253,1
6,27,491,114,Халімон Павло Віталійович,254,1
6,28,509,114,Гривко Сергій Дмитрович,310,1
6,32,581,114,Михайлюк Галина Олегівна,246,1
6,33,599,114,Одарченко Андрій Миколайович,147,1
6,34,617,114,Ткаченко Олександр Михайлович,118,1
6,35,635,114,Копитін Ігор Володимирович,106,1
6,36,653,114,Красов Олексій Ігорович,157,1
7,11,203,135,Тимофійчук Володимир Ярославович,71,1
7,12,221,135,Сольський Микола Тарасович,321,1
7,13,239,135,Чорноморов Артем Олегович,108,1
7,14,257,135,Камельчук Юрій Олександрович,101,1
7,15,275,135,Чорний Дмитро Сергійович,25,1
7,19,347,135,Бондаренко Олег Володимирович,259,1
7,20,365,135,Літвінов Олександр Миколайович,155,1
7,21,383,135,Каптєлов Роман Володимирович,27,1
7,22,401,135,Юнаков Іван Сергійович,263,1
7,23,419,135,Іванов Володимир Ілліч,162,1
7,25,455,135,Загоруйко Аліна Леонідівна,258,1
7,26,473,135,Гришина Юлія Миколаївна,430,1
7,27,491,135,Ананченко Михайло Олегович,233,1
7,28,509,135,Литвиненко Сергій Анатолійович,133,1
7,29,527,135,Скічко Олександр Олександрович,174,1
7,33,599,135,Наталуха Дмитро Андрійович,214,1
7,34,617,135,Борзова Ірина Наумівна,5,1
7,35,635,135,Рєпіна Елла Анатоліївна,277,1
7,36,653,135,Бондар Ганна Вячеславівна,197,1
7,37,671,135,Жмеренецький Олексій Сергійович,167,1
8,8,149,156,Ткаченко Олександр Владиславович,209,1
8,9,167,156,Заремський Максим Валентинович,179,1
8,10,185,156,Дирдін Максим Євгенович,109,1
8,11,203,156,Бужанський Максим Аркадійович,16,1
8,12,221,156,Верещук Ірина Андріївна,229,1
8,13,239,156,Мисягін Юрій Михайлович,19,1
8,17,311,156,Іванісов Роман Валерійович,130,0
8,18,329,156,Устенко Олексій Олегович,283,1
8,19,347,156,Чернявський Степан Миколайович,115,1
8,20,365,156,Арсенюк Олег Олексійович,172,1
8,21,383,156,Яковлєва Неллі Іллівна,309,1
8,22,401,156,Крейденко Володимир Вікторович,319,1
8,23,419,156,Монастирський Денис Анатолійович,219,1
8,25,455,156,Забуранна Леся Валентинівна,193,1
8,26,473,156,Тарасенко Тарас Петрович,320,1
8,27,491,156,Матусевич Олександр Борисович,68,1
8,28,509,156,Заславський Юрій Іванович,314,1
8,29,527,156,Гурін Дмитро Олександрович,195,1
8,30,545,156,Мошенець Олена Володимирівна,255,1
8,31,563,156,Колюх Валерій Вікторович,74,1
8,35,635,156,Пасічний Олександр Станіславович,104,1
8,36,653,156,Здебський Юрій Вікторович,149,1
8,37,671,156,Березін Максим Юрійович,128,1
8,38,689,156,Ляшенко Анастасія Олексіївна,125,1
8,39,707,156,Брагар Євгеній Вадимович,274,1
8,40,725,156,Торохтій Богдан Григорович,301,1
9,7,131,177,Кисилевський Дмитро Давидович,15,1
9,8,149,177,Шпак Любов Олександрівна,171,1
9,9,167,177,Лис Олена Георгіївна,178,1
9,10,185,177,Касай Костянтин Іванович,126,1
9,11,203,177,Мережко Олександр Олександрович,282,1
9,12,221,177,Мельник Павло Вікторович,63,1
9,16,293,177,Касай Геннадій Олександрович,56,1
9,17,311,177,Подгорна Вікторія Валентинівна,324,1
9,18,329,177,Коваль Ольга Володимирівна,257,1
9,19,347,177,Колісник Анна Сергіївна,291,1
9,20,365,177,Копиленко Олександр Любимович,432,1
9,21,383,177,Гетманцев Данило Олександрович,220,1
9,22,401,177,Бабак Сергій Віталійович,211,1
9,23,419,177,Янченко Галина Ігорівна,205,1
9,25,455,177,Ясько Єлизавета Олексіївна,215,1
9,26,473,177,Качура Олександр Анатолійович,248,1
9,27,491,177,Пивоваров Євген Павлович,152,1
9,28,509,177,Зуєв Максим Сергійович,184,1
9,29,527,177,Лаба Михайло Михайлович,52,1
16,28,509,324,Чайківський Іван Адамович,142,6
16,29,527,324,Іванчук Андрій Володимирович,70,7
16,30,545,324,Арешонков Володимир Юрійович,46,7
16,31,563,324,Довгий Олесь Станіславович,84,0
16,34,617,324,Мамка Григорій Миколайович,347,2
16,35,635,324,Колтунович Олександр Сергійович,346,2
16,36,653,324,Волошин Олег Анатолійович,354,2
16,37,671,324,Христенко Федір Володимирович,33,2
16,38,689,324,Славицька Антоніна Керимівна,361,2
16,39,707,324,Бурміч Анатолій Петрович,344,2
16,40,725,324,Кива Ілля Володимирович,358,2
16,46,833,324,Королевська Наталія Юріївна,328,2
17,2,41,345,Вільне місце,,
17,6,113,345,Порошенко Петро Олексійович,386,4
17,7,131,345,Забродський Михайло Віталійович,389,4
17,8,149,345,Федина Софія Романівна,390,4
17,9,167,345,Джемілєв Мустафа,391,4
17,10,185,345,Чийгоз Ахтем Зейтуллайович,393,4
17,11,203,345,Санченко Олександр Володимирович,436,1
17,12,221,345,Саладуха Ольга Валеріївна,256,1
17,13,239,345,Дмитрук Артем Геннадійович,110,1
17,16,293,345,Костенко Роман Васильович,421,5
17,17,311,345,Совсун Інна Романівна,423,5
17,18,329,345,Рудик Кіра Олександрівна,411,5
17,19,347,345,Вільне місце,,
17,20,365,345,Вільне місце,,
17,21,383,345,Немиря Григорій Михайлович,369,3
